Date,sanmc,bbvamc,sabmc,bktmc
2011-01-14,4.6957889999999995,5.456624,1.630593,2.3728740000000004
2011-01-17,4.710804,5.370197,1.621182,2.332179
2011-01-18,4.899814,5.658939,1.6851150000000001,2.4558310000000003
2011-01-19,4.868409,5.66876,1.6890759999999998,2.469394
2011-01-20,4.902061,5.745366000000001,1.7594610000000002,2.608698
2011-01-21,5.087147,5.938514,1.7971270000000001,2.686959
2011-01-24,5.070325,5.945062999999999,1.793157,2.6577439999999997
2011-01-25,4.911594999999999,5.7715559999999995,1.7540040000000001,2.520521
2011-01-26,4.865603,5.766317,1.734674,2.496526
2011-01-27,5.036668,5.945062999999999,1.725263,2.578435
2011-01-28,4.978337000000001,5.823279,1.725263,2.562783
2011-01-31,5.019845,5.871076,1.7317060000000002,2.600348
2011-02-01,5.122486,6.093689,1.6613220000000002,2.5831310000000003
2011-02-02,5.128658000000001,6.085177,1.6414990000000003,2.553915
2011-02-03,5.04228,5.910361,1.600364,2.508524
2011-02-04,5.00246,5.845541000000001,1.583508,2.484522
2011-02-07,5.020963,5.912324,1.577566,2.5309619999999997
2011-02-08,5.055178,5.925421,1.565173,2.546614
2011-02-09,5.036111,5.899885,1.559723,2.529913
2011-02-10,4.907108,5.778758,1.527506,2.4198310000000003
2011-02-11,4.958145,5.850124,1.526019,2.371825
2011-02-14,4.913278,5.794471,1.508176,2.320173
2011-02-15,4.986190000000001,5.87173,1.528994,2.381741
2011-02-16,5.173524,6.110057,1.598384,2.54087
2011-02-17,5.2256860000000005,6.173568,1.635549,2.608698
2011-02-18,5.19484,6.108092,1.62267,2.5737389999999998
2011-02-21,5.02377,5.925421,1.574098,2.4834810000000003
2011-02-22,4.969926,5.832447,1.555754,2.495477
2011-02-23,4.946928,5.78334,1.546343,2.460527
2011-02-24,4.903742,5.734889,1.540886,2.454782
2011-02-25,5.0131120000000005,5.8723849999999995,1.558729,2.494961
2011-02-28,5.011429,5.857327,1.55923,2.494437
2011-03-01,4.924494,5.776136,1.544354,2.452177
2011-03-02,4.845971,5.7113190000000005,1.526019,2.432352
2011-03-03,4.765766,5.6314400000000004,1.505702,2.40835
2011-03-04,4.67771,5.564655999999999,1.498264,2.36713
2011-03-07,4.621621,5.489362,1.494796,2.338956
2011-03-08,4.662006,5.5515620000000006,1.504708,2.373391
2011-03-09,4.643497,5.6019760000000005,1.524038,2.428698
2011-03-10,4.580118,5.505075,1.522057,2.3900919999999997
2011-03-11,4.539733999999999,5.578407,1.529988,2.404179
2011-03-14,4.6446190000000005,5.769591999999999,1.560216,2.54609
2011-03-15,4.655272,5.820661,1.564186,2.556005
2011-03-16,4.504398999999999,5.588882,1.532462,2.459478
2011-03-17,4.65079,5.673344,1.545349,2.510613
2011-03-18,4.652472,5.617692,1.54188,2.525218
2011-03-21,4.786522,5.794471,1.563192,2.563831
2011-03-22,4.767452,5.853397,1.564186,2.582614
2011-03-23,4.760718,5.859945,1.558729,2.580523
2011-03-24,4.825783,5.931312,1.574591,2.617049
2011-03-25,4.780908999999999,5.857981,1.5815270000000001,2.6123529999999997
2011-03-28,4.797174,5.8828629999999995,1.586483,2.647829
2011-03-29,4.7366,5.794471,1.571123,2.616524
2011-03-30,4.707433,5.774829,1.563685,2.623309
2011-03-31,4.5947,5.605249,1.529988,2.525218
2011-04-01,4.716974,5.746514,1.536925,2.603478
2011-04-04,4.683882,5.743849,1.534944,2.608698
2011-04-05,4.617132,5.681211,1.524038,2.577393
2011-04-06,4.720339,5.8617919999999994,1.55328,2.631135
2011-04-07,4.8011029999999995,5.877783999999999,1.556748,2.744348
2011-04-08,4.857754,5.857126999999999,1.564186,2.735481
2011-04-11,4.834752,5.862458,1.563685,2.7391360000000002
2011-04-12,4.783716,5.805818,1.561704,2.806957
2011-04-13,4.767452,5.7745,1.563685,2.778267
